strategy,n_threads,itr,elapsed_time,real,user,sys,result
Parallel All Snippets Possible,2,1,0.71,0.712,1.445,0.008,375250
Parallel All Snippets Possible,2,2,0.708,0.709,1.444,0.0,375250
Parallel All Snippets Possible,2,3,0.711,0.713,1.443,0.004,375250
Parallel All Snippets Possible,2,4,0.709,0.711,1.451,0.0,375250
Parallel All Snippets Possible,2,5,0.707,0.709,1.436,0.004,375250
Parallel All Snippets Possible,4,1,0.382,0.383,1.55,0.004,375250
Parallel All Snippets Possible,4,2,0.381,0.382,1.551,0.0,375250
Parallel All Snippets Possible,4,3,0.379,0.381,1.54,0.0,375250
Parallel All Snippets Possible,4,4,0.381,0.383,1.546,0.0,375250
Parallel All Snippets Possible,4,5,0.381,0.383,1.546,0.0,375250
Parallel All Snippets Possible,8,1,0.205,0.207,1.562,0.106,375250
Parallel All Snippets Possible,8,2,0.195,0.197,1.573,0.0,375250
Parallel All Snippets Possible,8,3,0.193,0.195,1.551,0.012,375250
Parallel All Snippets Possible,8,4,0.194,0.196,1.535,0.036,375250
Parallel All Snippets Possible,8,5,0.193,0.195,1.554,0.012,375250
Parallel All Snippets Possible,16,1,0.102,0.104,1.631,0.008,375250
Parallel All Snippets Possible,16,2,0.102,0.103,1.633,0.0,375250
Parallel All Snippets Possible,16,3,0.102,0.104,1.641,0.0,375250
Parallel All Snippets Possible,16,4,0.102,0.103,1.628,0.0,375250
Parallel All Snippets Possible,16,5,0.102,0.104,1.637,0.004,375250
Parallel All Snippets Possible,32,1,0.135,0.136,4.289,0.0,375250
Parallel All Snippets Possible,32,2,0.087,0.088,2.755,0.004,375250
Parallel All Snippets Possible,32,3,0.087,0.089,2.746,0.008,375250
Parallel All Snippets Possible,32,4,0.087,0.089,2.754,0.0,375250
Parallel All Snippets Possible,32,5,0.088,0.089,2.777,0.0,375250
Parallel All Snippets Possible,64,1,0.458,0.46,3.958,0.622,375250
Parallel All Snippets Possible,64,2,0.432,0.443,4.088,0.451,375250
Parallel All Snippets Possible,64,3,0.418,0.424,3.68,0.532,375250
Parallel All Snippets Possible,64,4,0.419,0.42,3.686,0.455,375250
Parallel All Snippets Possible,64,5,0.422,0.424,3.803,0.438,375250
Parallel All Snippets Possible,128,1,0.951,0.954,4.628,1.807,375250
Parallel All Snippets Possible,128,2,0.824,0.826,3.62,2.08,375250
Parallel All Snippets Possible,128,3,0.821,0.835,4.008,1.922,375250
Parallel All Snippets Possible,128,4,0.82,0.823,3.439,2.145,375250
Parallel All Snippets Possible,128,5,0.82,0.823,3.524,2.002,375250
Parallel All Snippets Possible,256,1,1.602,1.605,5.748,2.137,375250
Parallel All Snippets Possible,256,2,1.6,1.604,5.382,2.554,375250
Parallel All Snippets Possible,256,3,1.587,1.59,5.379,2.33,375250
Parallel All Snippets Possible,256,4,1.6,1.603,5.543,2.437,375250
Parallel All Snippets Possible,256,5,1.606,1.617,5.598,2.479,375250
Parallel All Snippets Possible,512,1,3.14,3.146,7.412,4.636,375250
Parallel All Snippets Possible,512,2,3.146,3.151,6.665,5.516,375250
Parallel All Snippets Possible,512,3,3.163,3.179,7.014,5.549,375250
Parallel All Snippets Possible,512,4,3.153,3.169,7.718,5.014,375250
Parallel All Snippets Possible,512,5,3.147,3.152,6.724,5.286,375250
Parallel Only Hotspot,2,1,0.709,0.714,1.423,0.0,375250
Parallel Only Hotspot,2,2,0.708,0.713,1.421,0.0,375250
Parallel Only Hotspot,2,3,0.713,0.717,1.426,0.004,375250
Parallel Only Hotspot,2,4,0.744,0.749,1.489,0.004,375250
Parallel Only Hotspot,2,5,0.707,0.711,1.417,0.0,375250
Parallel Only Hotspot,4,1,0.379,0.383,1.517,0.004,375250
Parallel Only Hotspot,4,2,0.378,0.382,1.517,0.0,375250
Parallel Only Hotspot,4,3,0.377,0.381,1.512,0.0,375250
Parallel Only Hotspot,4,4,0.385,0.39,1.542,0.004,375250
Parallel Only Hotspot,4,5,0.377,0.381,1.513,0.0,375250
Parallel Only Hotspot,8,1,0.197,0.201,1.578,0.004,375250
Parallel Only Hotspot,8,2,0.192,0.196,1.536,0.0,375250
Parallel Only Hotspot,8,3,0.193,0.197,1.546,0.0,375250
Parallel Only Hotspot,8,4,0.192,0.197,1.543,0.0,375250
Parallel Only Hotspot,8,5,0.193,0.198,1.551,0.0,375250
Parallel Only Hotspot,16,1,0.111,0.115,1.773,0.0,375250
Parallel Only Hotspot,16,2,0.102,0.106,1.63,0.0,375250
Parallel Only Hotspot,16,3,0.101,0.105,1.622,0.0,375250
Parallel Only Hotspot,16,4,0.101,0.105,1.608,0.008,375250
Parallel Only Hotspot,16,5,0.101,0.106,1.624,0.0,375250
Parallel Only Hotspot,32,1,0.147,0.152,4.711,0.004,375250
Parallel Only Hotspot,32,2,0.087,0.091,2.688,0.083,375250
Parallel Only Hotspot,32,3,0.087,0.091,2.655,0.114,375250
Parallel Only Hotspot,32,4,0.087,0.092,2.776,0.004,375250
